SMILES,SMILES_1,SMILES_2,SMILES_3,tg
CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],311.0
C=CC(=O)Oc1ccccc1C(C)(C)C,[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],345.0
C=Cc1cc(F)ccc1F,[c]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[c]:[cH]:[cH]:[c]:1,374.0
C=Cc1ccccc1Cl,[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[cH]:[cH]:[c]:1,395.0
OC(=O)CCCCCCCCC(=O)O.NCCCCCCCCCCN,[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],323.0
ClC=C,[CH]=[CH2],[CH]-[Cl],[CH2]=[CH]-[Cl],350.0
C=CC(=O)Oc1cccc(C(=O)OCC)c1,[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],297.0
C=CC(=O)OCC(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],263.0
C=Cc1ccc(cc1)Cl,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,398.0
OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,[c]1:[cH]:[c]:[cH]:[cH]:[cH]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[C]-[CH3],462.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],205.0
C1CNC1=O,[CH2]-[C](-[NH])=[O],[C]=[O],[O]=[C]1-[CH2]-[CH2]-[NH]-1,384.0
OC(=O)c1ccc(cc1)C(=O)O.OCCCO,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]-[CH2]-[CH2],[C]=[O],327.0
C=Cc1ccc(CCOC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]-[O]-[CH3],[CH2]=[CH],359.0
C=Cc1ccc(C(=O)CCCCCCC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],323.0
C=Cc1ccc(C(=O)CCCCC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]-[CH2]-[CH2],339.0
ClC(=C)Cl,[C]=[CH2],[CH2]=[C](-[Cl])-[Cl],[C]-[Cl],270.0
C=Cc1ccccc1COCC(C)(C)C,[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]-[O]-[CH2],[CH2]=[CH],351.0
C1COCO1,[CH2]-[O]-[CH2],[CH2]-[CH2]-[O],[CH2]1-[CH2]-[O]-[CH2]-[O]-1,209.0
CC(=C)C,[C]=[CH2],[CH2]=[C](-[CH3])-[CH3],[C]-[CH3],202.0
C1CCCO1,[CH2]-[O]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[O],189.0
COCC1CO1,[CH3]-[O]-[CH2],[CH]1-[CH2]-[O]-1,[CH3]-[O],211.0
C=Cc1ccccc1CCOC,[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]-[O]-[CH3],[CH2]=[CH],347.0
C=Cc1ccc(C(=O)OCC(C)C)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[C]-[O]-[CH2],[CH2]=[CH],363.0
CCOC(=O)C=C,[C]-[O]-[CH2],[CH]=[CH2],[CH]-[C](=[O])-[O],249.0
C=CC(=O)Oc1ccc(C)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],316.0
C=CC(=O)OCC(F)(F)C(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],247.0
FC=C,[CH]=[CH2],[CH]-[F],[CH2]=[CH]-[F],300.0
C=CC(=O)OC(C)(C)C,[C]-[O]-[C],[CH2]=[CH],[CH]-[C](=[O])-[O],311.0
C=Cc1ccc(C(=O)OCCC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[C]-[O]-[CH2],[CH2]=[CH],365.0
C=CC(=O)Oc1ccc(C(C)(C)C)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],344.0
C=Cc1ccc(C(=O)OCC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[C]-[O]-[CH2],[CH2]=[CH],367.0
C=Cc1ccc(OC)cc1C,[cH]1:[cH]:[c]:[c]:[cH]:[c]:1,[CH2]=[CH],[CH3]-[O],358.0
